Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Leflore County, Mississippi",0500000US28083,3960,1966,1830,1625,576,172,90
"Lincoln County, Mississippi",0500000US28085,3011,2346,2150,2004,1697,143,508
"Lowndes County, Mississippi",0500000US28087,4980,3685,4421,5387,2756,1343,793
"Madison County, Mississippi",0500000US28089,3803,6148,5987,11925,6604,4026,4065
"Marion County, Mississippi",0500000US28091,2526,3183,1526,1257,997,376,0
"Marshall County, Mississippi",0500000US28093,3223,3704,1830,1578,1995,529,80
"Monroe County, Mississippi",0500000US28095,2582,3448,2521,2662,1582,624,359
"Neshoba County, Mississippi",0500000US28099,1764,2405,1344,2211,1288,67,307
"Newton County, Mississippi",0500000US28101,1847,2004,1617,1429,724,95,16
"Oktibbeha County, Mississippi",0500000US28105,5632,4777,1917,2939,3790,1263,576
"Panola County, Mississippi",0500000US28107,3061,3117,774,3309,1360,672,85
"Pearl River County, Mississippi",0500000US28109,3027,5074,4586,4871,2986,407,518
"Pike County, Mississippi",0500000US28113,4939,2803,2992,2350,1143,1125,317
"Pontotoc County, Mississippi",0500000US28115,2151,3180,1558,3091,911,551,130
"Prentiss County, Mississippi",0500000US28117,1930,2069,1176,3072,1633,274,309
"Rankin County, Mississippi",0500000US28121,6821,8558,8982,15923,12071,4528,3011
"Scott County, Mississippi",0500000US28123,2589,3209,1684,1579,626,224,0
"Simpson County, Mississippi",0500000US28127,2627,1346,1841,1720,515,167,840
"Sunflower County, Mississippi",0500000US28133,2941,1790,1180,1319,590,146,162
"Tate County, Mississippi",0500000US28137,2324,1296,2186,2226,1855,338,321
"Tippah County, Mississippi",0500000US28139,1545,1710,975,2346,1016,245,332
"Union County, Mississippi",0500000US28145,1201,2820,1912,2763,1166,301,248
"Warren County, Mississippi",0500000US28149,3470,3060,2301,3926,1752,1378,620
"Washington County, Mississippi",0500000US28151,4861,3910,2818,2987,1515,761,390
"Wayne County, Mississippi",0500000US28153,1967,2226,877,1275,698,275,0
"Winston County, Mississippi",0500000US28159,1307,2039,1106,1314,895,528,661
"Yazoo County, Mississippi",0500000US28163,1575,2942,1871,1661,852,138,93
"Adair County, Missouri",0500000US29001,1933,1506,1148,1942,1045,532,433
"Audrain County, Missouri",0500000US29007,1044,1874,1921,2520,833,271,154
"Barry County, Missouri",0500000US29009,2287,3511,1867,3031,2182,137,828
"Boone County, Missouri",0500000US29019,11964,12867,11110,18743,10915,5008,4429
"Buchanan County, Missouri",0500000US29021,5923,7495,5243,8344,3232,1418,1679
