Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Lexington-Fayette, KY Metro Area",310M600US30460,62612,2050,86381,3340
"Lima, OH Metro Area",310M600US30620,51497,3024,69990,4815
"Lincoln, NE Metro Area",310M600US30700,65229,2790,85746,2703
"Little Rock-North Little Rock-Conway, AR Metro Area",310M600US30780,58357,2309,82288,2973
"Logan, UT-ID Metro Area",310M600US30860,67022,3972,89979,6157
"London, KY Micro Area",310M600US30940,40951,3232,54099,5346
"Longview, TX Metro Area",310M600US30980,56777,4056,76623,5972
"Longview, WA Metro Area",310M600US31020,71194,4474,85105,5980
"Los Angeles-Long Beach-Anaheim, CA Metro Area",310M600US31080,82503,785,115845,1186
"Louisville/Jefferson County, KY-IN Metro Area",310M600US31140,64029,1421,86920,1852
"Lubbock, TX Metro Area",310M600US31180,57634,3419,78938,4229
"Lufkin, TX Micro Area",310M600US31260,50045,5685,63615,5758
"Lumberton, NC Micro Area",310M600US31300,37008,3476,53798,2717
"Lynchburg, VA Metro Area",310M600US31340,58617,2599,81149,4259
"Macon-Bibb County, GA Metro Area",310M600US31420,53397,4340,76879,6661
"Madera, CA Metro Area",310M600US31460,63454,8331,91143,10905
"Madison, WI Metro Area",310M600US31540,76731,2013,99657,2114
"Manchester-Nashua, NH Metro Area",310M600US31700,91627,4234,117378,5337
"Manhattan, KS Metro Area",310M600US31740,57835,4889,75674,5227
"Manitowoc, WI Micro Area",310M600US31820,57918,4016,74262,4819
"Mankato, MN Metro Area",310M600US31860,70130,3858,89290,6223
"Mansfield, OH Metro Area",310M600US31900,51158,2663,70330,5927
"Marinette, WI-MI Micro Area",310M600US31940,58276,4113,69884,3799
"Marion, IN Micro Area",310M600US31980,49401,5000,63525,4774
"Marion, OH Micro Area",310M600US32020,48919,8544,66561,7373
"Marquette, MI Micro Area",310M600US32100,55301,5243,69006,4872
"Mayagüez, PR Metro Area",310M600US32420,16618,1406,27021,2694
"Zanesville, OH Micro Area",310M600US49780,51173,4512,69593,10298
"McAllen-Edinburg-Mission, TX Metro Area",310M600US32580,44818,3156,61113,2291
"Meadville, PA Micro Area",310M600US32740,55593,3737,76908,7100
"Medford, OR Metro Area",310M600US32780,64249,4669,80358,4762
"Memphis, TN-MS-AR Metro Area",310M600US32820,55840,1460,82311,2282
"Merced, CA Metro Area",310M600US32900,53992,3420,73466,6143
"Meridian, MS Micro Area",310M600US32940,41461,6044,56307,4864
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",310M600US33100,63814,803,95096,1335
"Michigan City-La Porte, IN Metro Area",310M600US33140,63714,4597,77668,4809
"Midland, MI Metro Area",310M600US33220,67707,3284,90855,6249
"Midland, TX Metro Area",310M600US33260,80478,11043,106185,9547
"Milwaukee-Waukesha, WI Metro Area",310M600US33340,68449,1478,94480,1805
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",310M600US33460,87433,1286,114348,1283
"Minot, ND Micro Area",310M600US33500,70598,4167,83589,7347
"Missoula, MT Metro Area",310M600US33540,66803,4237,100626,9855
"Mobile, AL Metro Area",310M600US33660,49691,2318,67794,2719
"Modesto, CA Metro Area",310M600US33700,73982,2658,94904,3538
"Monroe, LA Metro Area",310M600US33740,45001,3939,62953,4514
"Monroe, MI Metro Area",310M600US33780,65512,2459,82402,4655
"Montgomery, AL Metro Area",310M600US33860,52677,3042,72673,3349
"Morehead City, NC Micro Area",310M600US33980,62907,3563,80748,4650
"Morgantown, WV Metro Area",310M600US34060,58274,5125,84726,7017
"Morristown, TN Metro Area",310M600US34100,43213,3916,62410,5098
