Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Woodbury city, Minnesota",1600000US2771428,101785,9496,126099,10459
"Chino city, California",1600000US0613210,72155,6597,87717,9010
"San Bernardino city, California",1600000US0665000,35932,2898,47865,2449
"San Marcos city, California",1600000US0668196,66318,8481,93533,10336
"Santa Rosa city, California",1600000US0670098,62329,4170,84625,5303
"Irvine city, California",1600000US0636770,93781,5494,120043,7267
"Tucson city, Arizona",1600000US0477000,38155,1403,50644,1735
"Merced city, California",1600000US0646898,34321,4638,52689,6235
"Tracy city, California",1600000US0680238,80166,6395,87986,6009
"Rockville city, Maryland",1600000US2467675,97377,11332,121554,9769
"Waldorf CDP, Maryland",1600000US2481175,87223,7191,98810,5906
"Lexington-Fayette urban county, Kentucky",1600000US2146027,51948,1988,74766,3108
"Louisville/Jefferson County metro government (balance), Kentucky",1600000US2148006,48100,2089,66640,1876
"Lawrence city, Kansas",1600000US2038900,46564,5197,67903,5547
"Macon-Bibb County, Georgia",1600000US1349008,38704,3239,56587,3995
"Skokie village, Illinois",1600000US1770122,67338,9546,87745,7977
"Pembroke Pines city, Florida",1600000US1255775,62404,4308,84005,4923
"Pompano Beach city, Florida",1600000US1258050,43799,4176,59132,4579
"Gainesville city, Florida",1600000US1225175,34313,3788,49728,2872
"Largo city, Florida",1600000US1239425,39931,5087,60685,9680
"West Palm Beach city, Florida",1600000US1276600,49935,3610,77863,8675
"Augusta-Richmond County consolidated government (balance), Georgia",1600000US1304204,41190,2568,53350,2571
"Athens-Clarke County unified government (balance), Georgia",1600000US1303440,31141,2669,49899,4016
"Johns Creek city, Georgia",1600000US1342425,116210,14510,144761,12426
"Wilmington city, Delaware",1600000US1077580,41035,4283,61908,7649
"Palatine village, Illinois",1600000US1757225,75997,9307,97495,8276
"Jackson city, Mississippi",1600000US2836000,32482,2273,48165,2746
"Rochester city, Minnesota",1600000US2754880,66340,2635,89273,5878
"Farmington Hills city, Michigan",1600000US2627440,70393,3424,90953,6394
"Clovis city, California",1600000US0614218,62863,8145,79774,5039
"Chico city, California",1600000US0613014,45598,2791,61759,4345
"North Little Rock city, Arkansas",1600000US0550450,39686,6043,55741,8281
"Alameda city, California",1600000US0600562,92225,5990,117879,10733
"Lynwood city, California",1600000US0644574,46241,3344,58288,5598
"San Tan Valley CDP, Arizona",1600000US0464210,61441,3525,70312,7696
"Lafayette city, Indiana",1600000US1840788,41328,3214,49162,3324
"Quincy city, Massachusetts",1600000US2555745,66415,6198,84487,6094
"Cambridge city, Massachusetts",1600000US2511000,89847,6194,126123,8871
"Peoria city, Illinois",1600000US1759000,49121,3550,74211,7950
"Champaign city, Illinois",1600000US1712385,48394,5380,71327,8772
"Hammond city, Indiana",1600000US1831000,41359,3587,52458,3538
"Hollywood city, Florida",1600000US1232000,46091,3073,64988,4584
"Plantation city, Florida",1600000US1257425,63702,4771,89209,6650
"St. Petersburg city, Florida",1600000US1263000,48858,2250,67283,2751
"Yuba City city, California",1600000US0686972,48828,7368,62376,4683
"Redwood City city, California",1600000US0660102,97750,8133,137402,12006
"Pittsburg city, California",1600000US0657456,61878,11110,77557,7416
"Walnut Creek city, California",1600000US0683346,91812,9034,125315,8853
"Daly City city, California",1600000US0617918,81355,9583,95168,5593
"Concord city, California",1600000US0616000,72114,5549,90733,5004
"San Ramon city, California",1600000US0668378,125832,10747,155170,12329
"Redding city, California",1600000US0659920,45490,5756,61418,3944
"Sunnyvale city, California",1600000US0677000,112217,17381,143074,8813
"Fort Smith city, Arkansas",1600000US0524550,33534,4244,52123,5156
"Wichita city, Kansas",1600000US2079000,46894,1775,63118,2422
"Newton city, Massachusetts",1600000US2545560,126649,10649,184179,12290
"Bloomington city, Indiana",1600000US1805860,31115,2445,51486,4138
"Fishers town, Indiana",1600000US1823278,109397,9812,135321,12623
