Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Washington County, Oregon",0500000US41067,17036,30469,33577,51800,46808,23980,22285
"Yamhill County, Oregon",0500000US41071,5846,6150,6217,8684,6433,1831,2074
"Adams County, Pennsylvania",0500000US42001,4799,6308,7411,10940,6280,2454,1378
"Allegheny County, Pennsylvania",0500000US42003,88445,100160,83393,114918,83450,33533,39470
"Armstrong County, Pennsylvania",0500000US42005,4727,5918,4945,6971,2890,1033,848
"Beaver County, Pennsylvania",0500000US42007,11882,16497,10445,17726,11960,2623,1926
"Bedford County, Pennsylvania",0500000US42009,3426,4522,3618,4942,2004,567,364
"Berks County, Pennsylvania",0500000US42011,19841,29197,25293,38678,26479,10682,6836
"Blair County, Pennsylvania",0500000US42013,10467,9827,7994,13530,6398,1332,1548
"Bradford County, Pennsylvania",0500000US42015,3876,6077,4206,6004,3588,464,470
"Bucks County, Pennsylvania",0500000US42017,18478,30207,29094,56441,45409,26147,34186
"Butler County, Pennsylvania",0500000US42019,9760,12798,12338,17997,13910,5639,5322
"Cambria County, Pennsylvania",0500000US42021,11562,14053,8721,12743,6872,1850,682
"Carbon County, Pennsylvania",0500000US42025,3756,6288,3742,6180,4285,703,223
"Centre County, Pennsylvania",0500000US42027,11429,10495,8634,12020,9308,3769,2859
"Chester County, Pennsylvania",0500000US42029,14629,19864,21995,40616,39556,21951,34135
"Clarion County, Pennsylvania",0500000US42031,3125,3940,2445,3261,2320,686,280
"Clearfield County, Pennsylvania",0500000US42033,6716,7639,5930,5803,4013,1340,551
"Clinton County, Pennsylvania",0500000US42035,1863,3072,2985,3752,2069,786,131
"Columbia County, Pennsylvania",0500000US42037,4818,6116,4963,5588,3392,1024,754
"Crawford County, Pennsylvania",0500000US42039,5421,7962,6286,9340,3613,1047,717
"Cumberland County, Pennsylvania",0500000US42041,9292,17707,16417,26361,18268,6344,7854
"Dauphin County, Pennsylvania",0500000US42043,15135,21337,21358,24671,17202,5741,7115
"Delaware County, Pennsylvania",0500000US42045,23624,34016,29551,45387,33081,18122,23718
"Elk County, Pennsylvania",0500000US42047,1737,2949,2561,3676,2236,264,342
"Erie County, Pennsylvania",0500000US42049,19973,26610,18062,24718,13142,4261,3031
"Fayette County, Pennsylvania",0500000US42051,10931,11912,8188,13747,7702,2064,1541
"Franklin County, Pennsylvania",0500000US42055,9036,8986,11503,17135,8322,2865,1987
"Greene County, Pennsylvania",0500000US42059,3027,2805,1864,3056,2123,618,367
"Huntingdon County, Pennsylvania",0500000US42061,2758,3701,3696,3746,1973,698,291
"Indiana County, Pennsylvania",0500000US42063,6562,6765,6041,7779,4172,1162,617
"Jefferson County, Pennsylvania",0500000US42065,3678,4740,3818,4045,1998,292,372
"Juniata County, Pennsylvania",0500000US42067,1406,2049,1527,2531,1400,234,270
"Lackawanna County, Pennsylvania",0500000US42069,16558,16348,16701,21196,11777,2942,2746
